code,Name
KRD,NEO SMILES DENTAL STUDIO KOVAN
KRE,Royce Dental Surgery
KRF,Nyam Endoscopy Centre
KRG,C3 Family Clinic @Aljunied Crescent
KRH,KILLINEY MEDICAL CLINIC
KRI,Kerry Medical
KRK,MY Clinic
KRL,Bedok Day & Night Clinic
KRM,HEALTHSPRINGS MEDICAL ASSOCIATES
KRN,MINMED CLINIC (HAIG ROAD)
KRO,Access Medical (Redhill Close)
KRP,ACUMED MEDICAL GROUP (At Blk 38 Teban Gardens)
KRQ,ACUMED MEDICAL GROUP (At Woodlands st 31)
KRR,NCS Medical Clinic
KRU,Parkway Shenton Medical Group (At Heartland Mall - Kovan)
KRV,Parkway Shenton Medical Group
KRW,Onecare Clinic Bukit Gombak MRT
KRX,SINGAPORE TELECOM CLINIC
KRY,ST Aerospace Engineering Medical Centre
KRZ,STAT MEDICAL CLINIC @ HOUGANG
KS1,Allhealth Family Clinic
KS2,Advanced Medical Tampines
KS3,Clinic For Women Obs + Gynae
KS4,ESTEEMED MEDICAL CLINIC
KS5,iDOC Clinic
KS7,Dermatology & Surgery Clinic
KS8,GLORY DENTAL SURGERY (ROXY SQUARE) PTE.LTD.
KS9,ADVANCED DENTAL ANG MO KIO
KSA,Heritage Dental
KSC,J DENTAL
KSD,LUMINOUS DENTAL @ RAFFLES PLACE
KSE,V DENTAL
KSG,THOMSON CARDIOLOGY CENTRE
KSH,SIMS DRIVE MEDICAL CLINIC
KSJ,ASTRA WOMEN'S SPECIALISTS CENTRE
KSK,Dental Essence
KSM,FDC DENTAL BEDOK CENTRAL
KSN,U DENTAL
KSO,Hyperbaric Medical Services Pte Ltd
KSP,CHIRON MEDICAL CLINIC
KSQ,GOODDOCTORS MEDICAL CLINIC
KSS,RafflesMedical
KST,RafflesMedical
KSU,RafflesMedical (Northpoint City)
KSV,SOG CLINIC FOR CHILDREN
KSW,"SINGAPORE KNEE, SPORTS AND ORTHOPAEDIC CLINIC"
KSX,THE OBSTETRICS & GYNAECOLOGY CENTRE
KSY,Horizon Dental Surgery
KSZ,Liverpool Dental Care
KT0,St Josephâ€™s Home
KT1,TAMPINES CLINIC AND SURGERY PTE LTD
KT2,ACMS MEDICAL CLINIC
KT3,Clearbridge Medical Group
KT4,DR D.Y.H. POON & ASSOCIATES MEDICAL ONCOLOGY CLINIC PTE. LTD.
KT5,PINETREE MEDICAL CLINIC
KT6,ORTHOPAEDIC & HAND MRI (OHM) ORCHARD PTE LTD
KT7,ONECARE CLINIC TAMPINES MRT
KT8,SATA CommHealth Potong Pasir Medical Centre
KT9,"The ENT, Voice & Snoring Clinic"
KTA,SMILE DESIGN DENTAL PRACTICE
KTB,TAG Dental
KTC,BRACES & IMPLANT DENTAL CENTRE
KTD,Smiles R Us Dental (Aljunied)
KTE,VISTA DENTAL SURGERY
KTF,CLIFFORD DISPENSARY PTE LTD
KTG,ROYCE DENTAL SURGERY (MARINE PARADE)
KTH,TAMPINES ENDOSCOPY & SURGERY CENTRE
KTI,CHIA & LEE MEDICAL & DENTAL CLINIC
KTJ,ABLE MEDICAL
KTK,WC Ong Plastic Reconstructive Surgery
KTL,OncoCare Cancer Centre
KTM,ADVANCED CENTRE FOR REPRODUCTIVE MEDICINE PTE. LTD.
KTN,DP DENTAL (ORCHARD BRANCH)
KTO,Dental Icon
KTP,Q & M Dental Surgery (Yishun Central)
KTQ,GSH CLINIC & SURGERY PTE. LTD.
KTR,HK FAMILY CLINIC & SURGERY PTE LTD
KTS,Reservoir Road Clinic & Surgery
KTT,Corporate Dental Clinic
KTU,T32 Dental Centre
KTW,DAY & NIGHT FAMILY CLINIC
KTX,Diagnostix Imaging Centre
KTZ,Telok Blangah Clinic
KU0,UNICARE FAMILY CLINIC & SURGERY
KU1,Advance Renal Care (Kovan)
KU2,ICON SOC NOVENA MEDICAL CLINIC
KU3,TAN-TEOH CLINIC & SURGERY (Towner #01-212)
KU4,THE FAMILY MEDICAL CENTRE (YISHUN) PTE. LTD.
KU6,THOMSON PAEDIATRIC CENTRE
KU8,IMC DENTAL
KU9,JOY DENTAL CENTRE
KUB,KONG KIAN CLINIC
KUC,SBCC BABY & CHILD CLINIC
KUD,CODEN Specialists Dental Implant Maxillofacial Aesthetics
KUE,ROBERTSON CHOO OEHLERS LEE & LYE DENTAL SURGEONS
KUF,Vincent's Dental Surgery
KUG,Dr Matthew Tan Diabetes and Endocrine Care
KUH,FINEST HEALTH MEDICAL CENTRE
KUI,LEE CLINIC
KUJ,Lucence Diagnostics Medical Centre
KUK,"DRS KOO, KOH & ASSOCIATES P.L."
KUL,FRONTIER MEDICAL ASSOCIATES (AT WOODLANDS DR 73)
KUM,RafflesMedical
KUN,RafflesMedical
KUO,Saint-Julien Clinic for Diabetes & Endocrinology
KUP,SOG CLINIC FOR CHILDREN
KUQ,Trinity Medical Centre (Marine Parade)
KUR,POLYGEMS DENTAL CARE (SELETAR)
KUS,SHANG DENTAL (KALLANG)
KUT,TOOFDOCTOR DENTAL SURGEONS (PELIKAT)
KUU,Dental Focus Chinatown Clinic
KUV,TWIN CITY PERIODONTICS PTE. LTD.
KUW,MHC FAMILY CLINIC (ANG MO KIO)
KUX,SBCC BABY & CHILD CLINIC
KUY,Soon Diabetes Thyroid And Endocrinology Clinic
KUZ,The Medical Centre Clinic ( Hong Leong )
KV0,OEI & KHO CLINIC AND SURGERY
KV1,Radoc Imaging Radiology Centre
KV3,TRUE MEDICAL CLINIC TAMPINES WEST
KV4,Urohealth Medical Clinic
KV5,Dr JJ Chee Obstetrics & Gynaecology
KV6,NOVENA BLADELESS CATARACT SURGERY & EYE SPECIALIST CENTRE
KV7,WISMA GEYLANG SERAI CLINIC & SURGERY
KV9,ACCESS MEDICAL (TAMPINES 730)
KVA,DR NATASHA LIM EYE CENTRE
KVB,MINMED CLINIC (YISHUN)
KVC,SBCC BABY & CHILD CLINIC
KVD,ASIA KIDNEY DIALYSIS CENTRE (TAMPINES) PTE LTD
KVE,DR CHUA'S FAMILY CLINIC PTE. LTD.
KVF,FIRSTHEALTH CLINIC & SURGERY
KVG,FRASER MEDICAL CENTRE
KVH,K K HO CLINIC FOR WOMEN PTE LTD
KVJ,NOBEL PSYCHOLOGICAL WELLNESS CLINIC
KVK,TAN'S T & T CLINIC AND SURGERY
KVL,TAY CLINIC
KVM,WOODLANDS MEDICAL CENTRE
KVN,iSmile Dental Clinic
KVP,PanCare Medical Clinic
KVQ,PRECIOUS MEDICAL CLINIC
KVR,HC Orthopaedic Surgery
KVS,IMC MEDICAL
KVT,MOBILEDOCTOR CLINIC
KVV,"Abraham's Ear, Nose & Throat Surgery Pte Ltd"
KVW,FRONTIER MEDICAL ASSOCIATES (At CANBERRA STREET)
KVX,THE OBSTETRICS & GYNAECOLOGY CENTRE
KVY,Ashford Dental Centre
KVZ,MEIPLUS DENTALCARE
KW0,MEIPLUS DENTALCARE
KW1,KONG DENTAL SURGERY
KW3,IMMANUEL DIALYSIS CENTRE PTE LTD
KW4,ICON SOC ORCHARD MEDICAL CLINIC
KW5,MTFA Dialysis Centre
KW6,SMILE CENTRAL CLINIC (At Jurong Gateway)
KW7,Singapore Dental Implant Centre
KW8,WL&H Medical
KW9,Advent Medical Clinic
KWA,The Tenteram Clinic
KWB,Vitacare Family Clinic@Seletar Pte.Ltd.
KWC,Anteh Dispensary Pte Ltd
KWD,CENTRAL 24-HR CLINIC (CLEMENTI)
KWH,Lim Clinic
KWI,MHC MEDICAL CENTRE (AMARA)
KWJ,River of Life Family Clinic
KWK,TEXTILE CENTRE CLINIC
KWL,Wee's Clinic & Surgery Pte. Ltd.
KWM,CLUNY COURT FAMILY DENTAL PTE. LTD.
KWN,LUMINOUS DENTAL CLINIC @ YISHUN
KWO,EAGLE EYE CENTRE
KWP,ATRIA PAN DENTAL GROUP
KWQ,HEALTHWAY DENTAL CLINIC
KWR,TOOTH ANGELS & CO. DENTAL CENTRE
KWS,PK WOMEN'S SPECIALIST CLINIC
KWT,HEALTHWAY MEDICAL CLINIC
KWU,MY FAMILY DOCTOR (At Ang Mo Kio)
KWV,BEDOK FAMILY CLINIC & SURGERY
KWW,HEALTHWAY MEDICAL CLINIC
KWX,SINGAPORE FAMILY CLINIC & SURGERY
KWY,HEALTHWAY MEDICAL CLINIC
KWZ,Healthway Compassvale Clinic
KX0,Healthway Medical Clinic
KX1,HEALTHWAY MEDICAL CLINIC
KX2,SINGAPORE FAMILY CLINIC & SURGERY (HOUGANG)
KX3,Healthway Medical Clinic (At Hougang Mall)
KX4,Healthway West Coast Clinic
KX5,HEALTHWAY MEDICAL CLINIC
KX6,HEALTHWAY MEDICAL CLINIC
KX7,HEALTHWAY MEDICAL CLINIC
KX8,Healthway Medical Centre
KX9,HEALTHWAY ANCHORVALE CLINIC
KXA,PICTON MEDICAL CENTRE
KXB,HEALTHWAY MEDICAL CLINIC
KXC,PEACE FAMILY CLINIC & SURGERY (At Sembawang Drive)
KXD,Healthway Punggol Clinic
KXE,HEALTHWAY MEDICAL CLINIC
KXF,SILVER CROSS CLINIC (MARSILING)
KXG,HEALTHWAY MEDICAL CLINIC
KXH,HEALTHWAY MEDICAL CLINIC
KXI,Healthway Tampines Central Clinic
KXJ,HEALTHWAY TAMPINES CLINIC
KXK,Healthway Toa Payoh Clinic
KXL,HEALTHWAY MEDICAL CLINIC
KXM,SINGAPORE FAMILY CLINIC & SURGERY (WOODLANDS)
KXN,HEALTHWAY MEDICAL CENTRE
KXO,RafflesMedical
KXP,RafflesMedical
KXQ,Oneness Medical
KXR,RC'S FAMILY CLINIC PTE LTD
KXS,Red Dot Medical
KXT,Reste Medical
KXV,TrueCare Clinic
KXX,RafflesMedical
KXY,ISLAND FAMILY CLINIC (ANCHORVALE)
KXZ,RafflesMedical (Rivervale Mall)
KY0,Thomson Women's Clinic
KY1,Camry Medical Centre
KY2,NCS Medical Clinic
KY3,CLARION MEDICAL
KY4,SLK FAMILY CLINIC & SURGERY PTE. LTD.
KY5,ASTRA LAPAROSCOPIC & ROBOTIC CENTRE FOR WOMEN AND FERTILITY
KY6,AZATACA Plastic Surgery
KY7,Coronation Medical Centre
KY8,ACCESS MEDICAL (TECK GHEE)
KY9,Island Family Clinic & Endoscopy Centre
KYA,Shens Clinic
KYB,Glee! Dental Surgery
KYC,Thean Clinic Pte Ltd
KYD,My Family Clinic (Clementi)
KYE,My Family Clinic (Hougang Central)
KYF,My Family Clinic (Senja)
KYG,ACUMED MEDICAL GROUP
KYH,ACUMED MEDICAL GROUP
KYJ,ACUMED MEDICAL GROUP
KYK,ACUMED MEDICAL GROUP
KYL,ACUMED MEDICAL GROUP
KYM,ACUMED MEDICAL GROUP
KYN,ACUMED MEDICAL GROUP
KYO,ADVANCED MEDICINE IMAGING
KYP,CLINIC @ THE SAIL
KYQ,Central 24-HR Clinic ( Pioneer North )
KYR,OneCare Clinic Woodlands
KZ3,ASIA RETINA EYE SURGERY CENTRE
KZ6,BEN NEO CLINIC FOR WOMEN
KZ7,Care Sinus Snoring ENT Centre
KZ8,POLYGEMS DENTAL CARE (CANBERRA)
KZ9,Toronto Dental Care
KZA,Adam Road Medical Centre Psychiatric & Psychological Services
KZB,Diagnostix Imaging Centre
KZC,EVERTON CLINIC
KZD,THE ORAL CARE CENTRE
KZE,AESTHETICS DENTAL SURGERY
KZF,RAFFLESMEDICAL
KZG,RafflesMedical
KZH,RafflesMedical
KZI,RafflesMedical
KZJ,RafflesMedical
KZK,RafflesMedical
KZL,RAFFLESMEDICAL
KZM,RAFFLESMEDICAL
KZN,RafflesMedical
KZO,RAFFLESMEDICAL
KZP,RafflesMedical
KZQ,RafflesMedical
KZR,RafflesMedical
KZS,RafflesMedical
KZT,RafflesMedical
KZU,RafflesMedical
KZV,RafflesMedical
KZW,RafflesMedical
KZX,RafflesMedical
KZY,RafflesMedical
KZZ,RafflesMedical
L0,PARKWAY CANCER CENTRE
L1,SPECIALIST SURGERY AND LASER CENTRE
L2,JERRY TAN EYE SURGERY PTE LTD
L3,ASIAMEDIC EYE CENTRE PTE LTD
L4,The Lasik Surgery Clinic
L5,Clearvision Eye Clinic
L6,Asia HealthPartners Pte Ltd
L7,Pacific Healthcare Specialist Centre
L8,Yap & Ang Surgical Associates
L9,Aesthetic Medical Centre Pte Ltd
LA,Radlink Diagnostic Imaging (S) Pte Ltd
LB,British Dental Surgery
LC,Bukit Timah Nam Seng Dental Surgery
LD,Careway Dental Surgery
LE,De Dental Practice Pte Ltd
LF,Dhoby Dental Surgery LLP
LG,Dr KS Wong & Partners Dental Surgery
LH,Eastwood Dentalcare Family Dental Clinic
LI,Day Surgery International Pte Ltd
LJ,Ko Djeng Gleneagles Pte Ltd
LK,Oral-Health Dental Surgery
LL,Pan Island Dental Surgery
LM,Pinnacle Dental
LN,Smile Makers Dental Clinic
LO,Smiley Dentalcare
LP,ST Medical Services Pte Ltd (Singapore Aeromedical Centre)
LQ,Straits Dental Group
LR,Tanglin Dental Surgeons
LS,The Dental Practice
LT,The Family's Dental Surgery
LU,Cecilia Family Clinic & Surgery
LV,Chen Family Clinic
LW,Cheong Clinic
LY,Family Life Clinic
LZ,First Medical Centre
M0,Goh Clinic & Surgery
M1,Crown Dental Surgery Pte Ltd
M2,Universal Dental Group
M3,Atria-Pan Dental Pte Ltd
M4,Chin Dental Surgery
M5,W S Go & Associates Dental Surgeons
M5L,de dental practice
M6,Poon & Phay Dental Surgeons Pte Ltd
M7,Dr Seah Root Canal + Implant Surgical Clinic
M8,St Andrew's Dental Surgeon
M9,Aesthete SmileStudio Pte Ltd
MA,Centre for Oral Surgery & Implants
MB,Epismile Inc Dental Group Pte Ltd
MC,First Impressions Dental Surgery Pte Ltd
MD,Premier Dental Clinic
ME,Sunshine Smile Dental Pte Ltd
MF,Vista Dental Surgery
MG,Dr. Tooth Dental Centre
MH,Lee & Ong Dental Surgeons Pte Ltd
MI,DR GHOWS & Associates
MJ,Tooth Angels & Co Dental Clinic
MK,Smile Dental Group Pte Ltd
ML,Woodgrove Dental Surgery Pte Ltd
MM,TP Dental Surgeons Pte Ltd(Drs Tay & Partners)
MN,Smileworks Pte Ltd
MP,The Dental Inn Pte Ltd
MQ,Stamford Dental Clinic and Surgery Pte Ltd
MR,Covenant Dental Surgery
MS,Ace Family Dentalcare
MT,Amical Dental Surgery
MU,Hong Whye Clinic
MV,Pristine Dental Works
MW,Liew & Koh Dental Surgery
MX,Unity Denticare
MY,Eden Dental Surgery
MZ,Wong Dental Surgery
N00,Haig Specialist Medical Clinic Pte Ltd
N01,East Coast Specialist Polyclinic
N02,Dr Soh Family Clinic
N03,Fitrah Medicare Centre
N04,Goodwill Clinic
N05,Healthcare Clinic & Surgery
N06,Joy Family Clinic
N07,Loyang Medical Centre
N08,Medina Medical Centre
N09,Mission Medical Clinic
N0A,Mission (Bukit Batok) Medical Clinic
N0B,Newcastle Clinic
N0C,Parkway Clinic & Surgery
N0D,The Neptune Clinic
N0E,Toh Guan Family Clinic
N0F,Universal Medical Clinic
N0G,Citilife Family Clinic
N0H,Chng Clinic & Surgery
N0I,Family Medical Clinic Pte Ltd
N0J,First Care Family Clinic & Surgery Pte Ltd
N0K,Greenlife Clinic & Surgery Pte Ltd
N0L,Healthlink Medical Clinic and Surgery Pte Ltd
N0M,Nanyang Centre Clinic
N0N,Our Family Clinic + Surgery
N0O,Pasir Ris Clinic & Surgery (Asthetic Medical Pte Ltd)
N0P,Shenton Medical Group (Boon Lay)
N0Q,Shenton Medical Group (Harbourfront)
N0R,Shenton Medical Group (Singpost)
N0S,Shenton Lifestyle Clinic (Paragon)
N0T,Wen Xin Clinic
N0U,Amity Medical Clinic & Dental Surgery
N0V,Banyan Clinic @ jw Pte Ltd
N0W,Banyan Clinic Pte Ltd
N0X,Faith Medical Clinic & Surgery
N0Y,K N Chin & Associates Pte Ltd (Raffles Place)
N0Z,K N Chin & Associates Pte Ltd (Temasek Boulevard)
N10,Asian Centre for Liver Diseases & Transplantation Pte Ltd
N11,Canaan Dental Surgery Pte Ltd
N12,City Dental Pte Ltd
N13,Dental On The Bay
N14,Dr David K L Tay & Associates
N15,H H Lee & Associates Dental Surgery
N16,Henry Lee Dental Surgery
N17,Icon Dental Surgeons Pte Ltd
N18,Jurong Point Dental Surgery
N19,Khoo Dental Surgery
N1A,Mandarin Dental Centre (BT) Pte Ltd
N1B,Mandarin Dental Centre (Katong) Pte Ltd
N1C,Mandarin Dental Centre Pte Ltd
N1D,Orchard Scotts Dental Pte Ltd
N1E,Pang & Ng Dental Surgery (Bishan) Pte. Ltd.
N1F,Pang & Ng Dental Surgery (Hougang) Pte. Ltd.
N1G,Planet Dental Centre
N1H,Profile Dental Surgery Pte Ltd
N1I,Sengkang Dental Surgery
N1J,Supreme Dental Surgery
N1K,Tampines-Logic Dental Surgery Pte Ltd
N1L,Tangs Dental Group (Say Aah! Pte Ltd)
N1M,The Implant And Oral Surgery Centre
N1N,Tooth Art Dental Centre Pte Ltd
N1O,Town Hall Dental Surgery
N1P,Pacific Specialist Practice
N1Q,Pacific Specialist Practice
N1R,@Just Braces Dental Centre
N1S,Braces & Aesthetics Dental Clinic Pte Ltd
N1T,Brilliant Dental Surgery
N1U,C.H. Koh Clinic For Women Pte Ltd
N1V,Dr Angeline Ang & Associates
N1W,Flozz Dental Surgery
N1X,Kaiserâ€™s Zahnklinik Pte Ltd
N1Y,Millennium Dental Care
N1Z,Smile Creation Dental Surgeons Pte Ltd
N20,Sparkle Dental Surgery
N21,The Dentist@Orchard Pte Ltd
N22,The Smile Clinique Dental Surgeons
N25,The Clinic @Cuppage Pte Ltd
N26,Star Dental Surgery Pte Ltd
N27,Irene Chua Dental Surgery Pte Ltd
N28,Plaza Dental
N29,Ace Dental Centre
N2A,Cheok Dental Surgery
N2B,HEALTHTEETH DENTAL SURGERY PTE.LTD.
N2C,Sembawang Dental Surgery
N2D,Glory Dental Surgery
N2E,Regent Dental Clinic
N2F,Primecare Dental Clinic
N2G,Hougang Central Dental Surgery
N2H,Saw & Lee Dental Surgery
N2I,Tropical Dental Surgery
N2J,Shenton Dental Surgery
N2K,Medicare Associates & Dental Surgery
N2L,El-Shaddai Dental Surgery
N2M,Harmony Dental Surgery
N2N,CHRIS DENTAL SURGEON
N2O,Dentalworks Pte Ltd
N2P,Yeo Dental Surgery
N2Q,The Endodontic Office
N2R,Lee Dentalcare Pte Ltd
N2S,The Dental Boutique (The Dental Studio)
N2T,TOOFDOCTOR Dental Surgeons (Serangoon Central)
N2U,Smile Care Dental Surgery
N2V,Smile Dental @ Marine Terrace Pte Ltd
N2W,"Smile Centre for Dental Excellence - Aesthetics, Oral Surgery and Dental Implanatology"
N2X,Woodlands Dental Clinic
N2Y,ToothCraft Dental Surgeons
N2Z,Specialist Womenâ€™s Medical Centre
N30,G Chee Ear Nose Throat Sinus & Dizziness Centre
N31,Heah Colorectal Endoscopy and Piles Centre
N32,SuperSight Eye & Lasik Centre
N33,Total Eye Care Centre
N34,Singapore Oncology Consultants@Alvernia
N35,OncoCare Cancer Centre
N36,Raffles Dental (Tampines Junction)
N37,Raffles Dental (Causeway Point)
N38,RafflesMedical (Singapore Land Tower)
N39,RafflesMedical (Marina Square)
N3A,Vista Dental Surgery (CCK) Pte Ltd
N3B,WEE BREAST & GENERAL SURGERY PTE LTD
N3C,AESTHETIC PLASTIC RECONSTRUCTIVE SURGERY
N3D,Tooth Angels & Co. Dental Surgeons
N3E,DENTALTRENDZ PTE. LTD.
N3F,LEE DENTAL PTE LTD
N3G,LEE & ONG DENTAL SURGEONS
N3H,Luminous Dental Clinic
N3I,HOLLAND VILLAGE DENTAL SURGERY
N3J,UBI DENTAL CLINIC
N3K,NAM FUNG DENTAL SURGERY PTE LTD
N3L,Crescent Dental Clinic
N3M,JUNCTION 8 DENTAL SURGERY
N3N,RADIANCE Dental Care @ Aljunied
N3O,KCS Dental Group
N3P,RENAL HEALTH PTE LTD
N3Q,Orthe Pte Ltd
N3R,Peace Family Clinic And Surgery (AMK)
N3S,Healthway Anchorvale Clinic
N3T,Winsome Medical & Dental Center
N3U,Peace Family Clinic (WL832) Pte Ltd
N3V,Ang Mo Kio - Thye Hua Kwan Hospital Geriatric Clinic
N3W,Vista Dental Surgery
N3X,GASTROINTESTINAL ENDOSCOPY & LIVER CENTRE
N3Y,HUANG EAR NOSE & THROAT SURGERY PTE LTD
N3Z,Starcap Medical Group Pte Ltd
N40,MARITIME DENTAL SURGERY PTE LTD
N41,ALLSMILES DENTAL CARE PTE LTD
N42,i.dental surgeons
N43,"Johnny Lee, Hinly Lau Dental Surgeons Pte Ltd"
N44,My Dentist's Clinique
N45,Flinders Practice Pte Ltd
N46,Novena Surgery
N47,K O Chan Ear Nose Throat Sinus & Sleep Centre
N48,Zam Family Clinic
N49,Ambulatory SurgiCare (ASC)
N4A,EAR NOSE & THROAT PARTNERS PTE LTD
N4B,LUKE TAN EAR NOSE THROAT & THYROID SURGERY
N4C,STILL ROAD DENTAL SURGERY
N4D,The Oral Care Centre
N4E,Specialist Dental Group
N4F,Synergy Dental Group Pte Ltd
N4G,HOSANNA ! DENTAL SURGERY
N4H,TAH CHONG DENTAL SURGERY
N4I,Novena Dental Aesthetic Practice Pte Ltd Centre for Aesthetic Dentistry
N4J,RAFFLESDENTAL
N4K,Q & M DENTAL SURGERY (BOON LAY MRT) PTE LTD
N4L,Newlife Dental Practice Pte. Ltd.
N4M,Tayka Medical Pte Ltd
N4N,RADIOLOGIC CLINIC - BREAST IMAGING CENTRE
N4O,RADIOLOGIC CLINIC
N4P,RADIOLOGIC CLINIC
N4Q,RADIOLOGIC CLINIC
N4R,RADIOLOGIC CLINIC
N4S,Radiologic Clinic
N4T,CAIRNHILL X-RAY CLINIC & LABORATORY
N4U,THE ORCHARD IMAGING CENTRE PTE LTD
N4V,Health Partners Family Clinic
N4W,Icon Medical Clinic
N4X,Agape Clinic
N4Y,Elias Family Clinic
N4Z,Frontier People's Clinic
N50,Corporate Medical Centre
N51,My Family Clinic (Toa Payoh Central)
N52,Furama Clinic
N53,The Cancer Centre
N54,Gleneagles Dialysis International Pte Ltd
N55,The Dental Pearl
N56,Swan's Family Clinic and Surgery
N57,Trendz Dental Surgeons Pte. Ltd.
N58,Flinders Practice Pte Ltd (Middle Road)
N59,Aesthetic Reconstructive Jaw Surgery
N5A,Pinnacle Dental Group Pte Ltd
N5B,PINNACLE DENTAL GROUP
N5C,NTUC DENTICARE
N5D,NTUC DENTICARE
N5E,NTUC DENTICARE
N5F,WESTPOINT FAMILY HOSPITAL
N5G,Eye & Retina Surgeons
N5H,Shinagawa LASIK Centre
N5I,Apple Eye Centre / Apple ENT Centre
N5J,HAND WRIST & MICROSURGICAL CENTRE PTE LTD
N5K,Freia Medical Aesthetics
N5L,Singapore International Eye Cataract Retina Centre
N5M,Eastern Hougang Eye Specialist
N5N,International Cancer Specialists
N5O,Healthmark Clinic (Pasir Ris)
N5P,First Light Family Clinic & Surgery
N5Q,My Doctor's Place Pte Ltd
N5R,Yang Clinic
N5S,Clarke Medical
N5T,Foo Clinic
N5V,GSH Clinic & Surgery
N5W,MEDICAL AND DENTAL CENTRE @ COMMONWEALTH
N5X,Apple Eye Centre
N5Y,APPLE EAR NOSE THROAT SINUS AND  SNORING CENTRE
N60,ASCENT Ear Nose Throat Specialist Group
N61,Healthway Medical Assessment Centre
N62,Twin City Medical and Dental Clinic Pte Ltd
N63,Smile Dental Centre For Aesthetics Pte Ltd
N64,Q & M Dental Surgery (Gombak MRT) Pte Ltd
N65,The Singapore Clinic for Kidney Diseases (Pte Ltd)
N66,Singapore PET & Cardiac Imaging Centre Pte Ltd
N67,Drs. Chua & Partners (Alexandra Village)
N68,Medicare Associates
N69,Punggol Family Clinic Pte Ltd
N6A,Admiralty Family Clinic Pte Ltd
N6B,Tampines 24-Hr Family Clinic Pte Ltd
N6C,KONG LING CLINIC & SURGERY
N6D,BEDOK LIFE CLINIC
N6E,HARMONY FAMILY CLINIC
N6F,AcuMed Medical Group
N6G,RafflesMedical
N6H,HL FAMILY CLINIC & SURGERY(BEDOK) PTE LTD
N6I,Vagus Medical
N6J,SH TAN KIDNEY AND MEDICAL CLINIC
N6K,Advance Renal Therapy
N6L,LAM CLINIC
N6M,Toofdoctor Dental Surgeons (Adelphi)
N6N,INTERNATIONAL EYE SURGERY PTE LTD
N6O,Gynecology Consultants Clinic & Surgery
N6R,ALJUNIED DENTAL SURGERY
N6S,VICTORIA DENTALCARE
N6T,Dr HC Leong Dental Surgeon
N6U,The Smile Division@Hougang Central Dental Surgery Pte Ltd
N6V,The Smile Division@Primecare Dental Clinic Pte Ltd
N6W,The Smile Division Dental Surgery
N6X,The Smile Division dental surgeons
N6Y,KU KIDNEY & MEDICAL CENTRE
N6Z,The Rafflesian Clinic & Surgery
N70,338 Family Clinic Pte Ltd
N71,Elim Family Clinic & Surgery
N72,Atlas Medical
N73,WHAMPOA CLINIC
N74,CHIA CLINIC AND SURGERY
N75,CHIA & LEE MEDICAL & DENTAL CLINIC
N76,Soon Diabetes Thyroid And Endocrinology Clinic
N77,CLEARSPRING CLINIC
N78,SATA CommHealth Woodlands Medical Centre
N79,CENTRAL CLINIC & SURGERY (BEDOK)
N7B,Ren Ci Community Hospital (Convalescent)
N7C,The Eye & Cornea Transplant Centre
N7D,PREMIUM LASIK SURGERY CLINIC
N7E,Apollo Medical Centre
N7F,TIONG BAHRU MEDICAL CENTRE
N7H,CHIN CHOO CLINIC
N7I,HONG ASSOCIATES CLINIC
N7J,Chua Medical Centre Pte Ltd
N7K,Shalom Community Clinic
N7L,Healthsprings Medical Clinic
N7M,ROCHOR MEDICAL CENTRE / ROCHOR CENTRE DENTAL SURGERY
N7N,THOMAS CLINIC & SURGERY
N7O,PRAISE FAMILY CLINIC
N7P,SATA Commhealth Uttamram Medical Centre
N7Q,SATA CommHealth Jurong Medical Centre
N7R,SATA CommHealth Medical Centre - Ang Mo Kio
N7S,Canberra Medical Aesthetics
N7T,JURONG DENTAL SURGERY
N7U,Crown Dental @Kovan Pte Ltd
N7V,SMILE CONCEPT DENTAL PRACTICE
N7W,WEST COAST DENTAL CLINIC
N7X,THOMSON WOMEN CANCER CENTRE
N7Y,DR ONG THENG KIAT CLINIC & SURGERY FOR WOMEN
N7Z,EAGLE EYE CENTRE PTE LTD (EEC)
N80,INTERCEPT HEALTHCARE PTE LTD
N81,United Specialist Centre
N82,Seow-Choen Colorectal Centre Pte Ltd
N83,The Eye & Aesthetics Clinic
N84,EJ Family Clinic & Surgery
N85,DentalTown (AMK) Pte Ltd
N86,"WONG, ONG & PARTNERS DENTAL SURGEONS"
N87,iSmile Studio Pte Ltd
N88,I Care Dental
N89,DR JIMMY YAP & PARTNERS DENTAL SURGEONS
N8A,WH DENTAL SURGEONS
N8B,ALLSMILES DENTAL CARE @ TAMPINES
N8C,K C YEO CLINIC & SURGERY FOR WOMEN PTE. LTD
N8D,Y Y TAN'S CLINIC FOR WOMEN PTE LTD
N8E,JAMES TAN CENTRE FOR UROLOGY & ROBOTIC SURGERY
N8F,H L KONG MEDICAL ONCOLOGY CENTRE
N8G,Kidney Therapy Centre Pte Ltd
N8H,CENTRAL CLINIC & SURGERY 24 HR (TAMPINES)
N8I,SINGAPORE VEIN CENTRE
N8J,Singapore Medical Specialists Centre
N8K,Mow Blood & Cancer Clinic
N8L,Trinity Medical Clinic (AT DOVER CRESCENT)
N8M,PROHEALTH 24-HOUR MEDICAL CLINIC
N8N,CLIFFORD DISPENSARY PTE. LTD.
N8O,Frontier Medical Associates (AT JURONG WEST ST 64)
N8P,The Cliniq
N8Q,ALEXANDRA MEDICAL CENTRE PTE. LTD.
N8R,SILVER CROSS FAMILY CLINIC
N8S,Orchard Surgery Center
