ICD_Code,Description,Critical_Illness_Classification
M61529,"Other ossification of muscle, unspecified upper arm",NONE
M61539,"Other ossification of muscle, unspecified forearm",NONE
M61549,"Other ossification of muscle, unspecified hand",NONE
M61521,"Other ossification of muscle, right upper arm",NONE
M61522,"Other ossification of muscle, left upper arm",NONE
M61531,"Other ossification of muscle, right forearm",NONE
M61532,"Other ossification of muscle, left forearm",NONE
M61541,"Other ossification of muscle, right hand",NONE
M61542,"Other ossification of muscle, left hand",NONE
M61551,"Other ossification of muscle, right thigh",NONE
M61552,"Other ossification of muscle, left thigh",NONE
M61479,"Other calcification of muscle, unspecified ankle and foot",MUSCULAR_DYSTROPHY
M61559,"Other ossification of muscle, unspecified thigh",NONE
M61569,"Other ossification of muscle, unspecified lower leg",NONE
M61571,"Other ossification of muscle, right ankle and foot",NONE
M61572,"Other ossification of muscle, left ankle and foot",MUSCULAR_DYSTROPHY
M6158,"Other ossification of muscle, other site",NONE
M6159,"Other ossification of muscle, multiple sites",APLASTIC_ANAEMIA
M619,"Calcification and ossification of muscle, unspecified",NONE
M6200,"Separation of muscle (nontraumatic), unspecified site",NONE
M62011,"Separation of muscle (nontraumatic), right shoulder",NONE
M62012,"Separation of muscle (nontraumatic), left shoulder",NONE
M62019,"Separation of muscle (nontraumatic), unspecified shoulder",NONE
M62029,"Separation of muscle (nontraumatic), unspecified upper arm",NONE
M62039,"Separation of muscle (nontraumatic), unspecified forearm",MUSCULAR_DYSTROPHY
M62049,"Separation of muscle (nontraumatic), unspecified hand",NONE
M62059,"Separation of muscle (nontraumatic), unspecified thigh",MULTIPLE_SCLEROSIS
M62069,"Separation of muscle (nontraumatic), unspecified lower leg",NONE
M62061,"Separation of muscle (nontraumatic), right lower leg",MUSCULAR_DYSTROPHY
M62062,"Separation of muscle (nontraumatic), left lower leg",NONE
M62021,"Separation of muscle (nontraumatic), right upper arm",NONE
M62022,"Separation of muscle (nontraumatic), left upper arm",NONE
M62031,"Separation of muscle (nontraumatic), right forearm",MUSCULAR_DYSTROPHY
M62032,"Separation of muscle (nontraumatic), left forearm",MUSCULAR_DYSTROPHY
M62041,"Separation of muscle (nontraumatic), right hand",NONE
M62042,"Separation of muscle (nontraumatic), left hand",NONE
M62051,"Separation of muscle (nontraumatic), right thigh",NONE
M62052,"Separation of muscle (nontraumatic), left thigh",NONE
M61579,"Other ossification of muscle, unspecified ankle and foot",NONE
M61561,"Other ossification of muscle, right lower leg",NONE
M61562,"Other ossification of muscle, left lower leg",NONE
M62071,"Separation of muscle (nontraumatic), right ankle and foot",NONE
M62072,"Separation of muscle (nontraumatic), left ankle and foot",NONE
M6210,"Other rupture of muscle (nontraumatic), unspecified site",MUSCULAR_DYSTROPHY
M62111,"Other rupture of muscle (nontraumatic), right shoulder",NONE
M62112,"Other rupture of muscle (nontraumatic), left shoulder",NONE
M62121,"Other rupture of muscle (nontraumatic), right upper arm",NONE
M62122,"Other rupture of muscle (nontraumatic), left upper arm",MUSCULAR_DYSTROPHY
M62131,"Other rupture of muscle (nontraumatic), right forearm",NONE
M62132,"Other rupture of muscle (nontraumatic), left forearm",MUSCULAR_DYSTROPHY
M62141,"Other rupture of muscle (nontraumatic), right hand",NONE
M62142,"Other rupture of muscle (nontraumatic), left hand",MUSCULAR_DYSTROPHY
M62151,"Other rupture of muscle (nontraumatic), right thigh",NONE
M62152,"Other rupture of muscle (nontraumatic), left thigh",MUSCULAR_DYSTROPHY
M62119,"Other rupture of muscle (nontraumatic), unspecified shoulder",MUSCULAR_DYSTROPHY
M62129,"Other rupture of muscle (nontraumatic), unspecified upper arm",NONE
M62139,"Other rupture of muscle (nontraumatic), unspecified forearm",NONE
M62149,"Other rupture of muscle (nontraumatic), unspecified hand",NONE
M62159,"Other rupture of muscle (nontraumatic), unspecified thigh",NONE
M62169,"Other rupture of muscle (nontraumatic), unspecified lower leg",NONE
M62171,"Other rupture of muscle (nontraumatic), right ankle and foot",MUSCULAR_DYSTROPHY
M62172,"Other rupture of muscle (nontraumatic), left ankle and foot",NONE
M6220,"Nontraumatic ischemic infarction of muscle, unspecified site",NONE
M62211,"Nontraumatic ischemic infarction of muscle, right shoulder",SURGERY_TO_THE_AORTA
M6218,"Other rupture of muscle (nontraumatic), other site",NONE
M62179,"Other rupture of muscle (nontraumatic), unspecified ankle and foot",NONE
M62161,"Other rupture of muscle (nontraumatic), right lower leg",NONE
M62162,"Other rupture of muscle (nontraumatic), left lower leg",NONE
M6208,"Separation of muscle (nontraumatic), other site",NONE
M62079,"Separation of muscle (nontraumatic), unspecified ankle and foot",NONE
M62212,"Nontraumatic ischemic infarction of muscle, left shoulder",NONE
M62221,"Nontraumatic ischemic infarction of muscle, right upper arm",MUSCULAR_DYSTROPHY
M62222,"Nontraumatic ischemic infarction of muscle, left upper arm",HEART_ATTACK
M62231,"Nontraumatic ischemic infarction of muscle, right forearm",NONE
M62232,"Nontraumatic ischemic infarction of muscle, left forearm",NONE
M62241,"Nontraumatic ischemic infarction of muscle, right hand",STROKE
M62242,"Nontraumatic ischemic infarction of muscle, left hand",NONE
M62251,"Nontraumatic ischemic infarction of muscle, right thigh",NONE
M62252,"Nontraumatic ischemic infarction of muscle, left thigh",HEART_ATTACK
M62219,"Nontraumatic ischemic infarction of muscle, unspecified shoulder",HEART_ATTACK
M62229,"Nontraumatic ischemic infarction of muscle, unspecified upper arm",HEART_ATTACK
M62239,"Nontraumatic ischemic infarction of muscle, unspecified forearm",NONE
M62249,"Nontraumatic ischemic infarction of muscle, unspecified hand",NONE
M62259,"Nontraumatic ischemic infarction of muscle, unspecified thigh",HEART_ATTACK
M62269,"Nontraumatic ischemic infarction of muscle, unspecified lower leg",NONE
M62271,"Nontraumatic ischemic infarction of muscle, right ankle and foot",NONE
M62272,"Nontraumatic ischemic infarction of muscle, left ankle and foot",MUSCULAR_DYSTROPHY
M6228,"Nontraumatic ischemic infarction of muscle, other site",HEART_ATTACK
M623,Immobility syndrome (paraplegic),NONE
M6240,"Contracture of muscle, unspecified site",NONE
M62411,"Contracture of muscle, right shoulder",NONE
M62412,"Contracture of muscle, left shoulder",NONE
M62419,"Contracture of muscle, unspecified shoulder",NONE
M62429,"Contracture of muscle, unspecified upper arm",NONE
M62421,"Contracture of muscle, right upper arm",NONE
M62422,"Contracture of muscle, left upper arm",NONE
M62279,"Nontraumatic ischemic infarction of muscle, unspecified ankle and foot",NONE
M62261,"Nontraumatic ischemic infarction of muscle, right lower leg",SERIOUS_CORONARY_ARTERY_DISEASE
M62262,"Nontraumatic ischemic infarction of muscle, left lower leg",HEART_ATTACK
M62431,"Contracture of muscle, right forearm",NONE
M62432,"Contracture of muscle, left forearm",MUSCULAR_DYSTROPHY
M62441,"Contracture of muscle, right hand",NONE
M62442,"Contracture of muscle, left hand",NONE
M62451,"Contracture of muscle, right thigh",MAJOR_BURNS
M62452,"Contracture of muscle, left thigh",NONE
M62439,"Contracture of muscle, unspecified forearm",NONE
M62449,"Contracture of muscle, unspecified hand",NONE
M62459,"Contracture of muscle, unspecified thigh",NONE
M62469,"Contracture of muscle, unspecified lower leg",NONE
M62471,"Contracture of muscle, right ankle and foot",NONE
M62472,"Contracture of muscle, left ankle and foot",NONE
M6248,"Contracture of muscle, other site",MUSCULAR_DYSTROPHY
M6249,"Contracture of muscle, multiple sites",NONE
M62479,"Contracture of muscle, unspecified ankle and foot",NONE
M6250,"Muscle wasting and atrophy, not elsewhere classified, unspecified site",MUSCULAR_DYSTROPHY
M62511,"Muscle wasting and atrophy, not elsewhere classified, right shoulder",NONE
M62512,"Muscle wasting and atrophy, not elsewhere classified, left shoulder",MULTIPLE_SCLEROSIS
M62521,"Muscle wasting and atrophy, not elsewhere classified, right upper arm",MUSCULAR_DYSTROPHY
M62522,"Muscle wasting and atrophy, not elsewhere classified, left upper arm",MUSCULAR_DYSTROPHY
M62531,"Muscle wasting and atrophy, not elsewhere classified, right forearm",MUSCULAR_DYSTROPHY
M62532,"Muscle wasting and atrophy, not elsewhere classified, left forearm",NONE
M62541,"Muscle wasting and atrophy, not elsewhere classified, right hand",MUSCULAR_DYSTROPHY
M62542,"Muscle wasting and atrophy, not elsewhere classified, left hand",MUSCULAR_DYSTROPHY
M62519,"Muscle wasting and atrophy, not elsewhere classified, unspecified shoulder",MUSCULAR_DYSTROPHY
M62529,"Muscle wasting and atrophy, not elsewhere classified, unspecified upper arm",MUSCULAR_DYSTROPHY
M62539,"Muscle wasting and atrophy, not elsewhere classified, unspecified forearm",MUSCULAR_DYSTROPHY
M62461,"Contracture of muscle, right lower leg",NONE
M62462,"Contracture of muscle, left lower leg",NONE
M62549,"Muscle wasting and atrophy, not elsewhere classified, unspecified hand",NONE
M62559,"Muscle wasting and atrophy, not elsewhere classified, unspecified thigh",MUSCULAR_DYSTROPHY
M62569,"Muscle wasting and atrophy, not elsewhere classified, unspecified lower leg",MULTIPLE_SCLEROSIS
M62571,"Muscle wasting and atrophy, not elsewhere classified, right ankle and foot",MUSCULAR_DYSTROPHY
M62572,"Muscle wasting and atrophy, not elsewhere classified, left ankle and foot",NONE
M6258,"Muscle wasting and atrophy, not elsewhere classified, other site",MUSCULAR_DYSTROPHY
M6281,Muscle weakness (generalized),MOTOR_NEURONE_DISEASE
M6289,Other specified disorders of muscle,NONE
M629,"Disorder of muscle, unspecified",MUSCULAR_DYSTROPHY
M6282,Rhabdomyolysis,NONE
M62830,Muscle spasm of back,NONE
M62831,Muscle spasm of calf,MUSCULAR_DYSTROPHY
M62838,Other muscle spasm,MUSCULAR_DYSTROPHY
M6284,Sarcopenia,NONE
M6259,"Muscle wasting and atrophy, not elsewhere classified, multiple sites",MULTIPLE_SCLEROSIS
M6380,"Disorders of muscle in diseases classified elsewhere, unspecified site",MUSCULAR_DYSTROPHY
M63811,"Disorders of muscle in diseases classified elsewhere, right shoulder",NONE
M63812,"Disorders of muscle in diseases classified elsewhere, left shoulder",MUSCULAR_DYSTROPHY
M63819,"Disorders of muscle in diseases classified elsewhere, unspecified shoulder",MUSCULAR_DYSTROPHY
M63829,"Disorders of muscle in diseases classified elsewhere, unspecified upper arm",MUSCULAR_DYSTROPHY
M63821,"Disorders of muscle in diseases classified elsewhere, right upper arm",MUSCULAR_DYSTROPHY
M63822,"Disorders of muscle in diseases classified elsewhere, left upper arm",NONE
M63831,"Disorders of muscle in diseases classified elsewhere, right forearm",NONE
M63832,"Disorders of muscle in diseases classified elsewhere, left forearm",MUSCULAR_DYSTROPHY
M62579,"Muscle wasting and atrophy, not elsewhere classified, unspecified ankle and foot",MUSCULAR_DYSTROPHY
M62561,"Muscle wasting and atrophy, not elsewhere classified, right lower leg",NONE
M62562,"Muscle wasting and atrophy, not elsewhere classified, left lower leg",MUSCULAR_DYSTROPHY
M62551,"Muscle wasting and atrophy, not elsewhere classified, right thigh",MUSCULAR_DYSTROPHY
M62552,"Muscle wasting and atrophy, not elsewhere classified, left thigh",MUSCULAR_DYSTROPHY
M63839,"Disorders of muscle in diseases classified elsewhere, unspecified forearm",NONE
M63849,"Disorders of muscle in diseases classified elsewhere, unspecified hand",NONE
M63859,"Disorders of muscle in diseases classified elsewhere, unspecified thigh",NONE
M63869,"Disorders of muscle in diseases classified elsewhere, unspecified lower leg",NONE
M63871,"Disorders of muscle in diseases classified elsewhere, right ankle and foot",MUSCULAR_DYSTROPHY
M63872,"Disorders of muscle in diseases classified elsewhere, left ankle and foot",MUSCULAR_DYSTROPHY
M6388,"Disorders of muscle in diseases classified elsewhere, other site",MUSCULAR_DYSTROPHY
M6500,"Abscess of tendon sheath, unspecified site",NONE
M65011,"Abscess of tendon sheath, right shoulder",NONE
M65012,"Abscess of tendon sheath, left shoulder",NONE
M65019,"Abscess of tendon sheath, unspecified shoulder",NONE
M65029,"Abscess of tendon sheath, unspecified upper arm",NONE
M65039,"Abscess of tendon sheath, unspecified forearm",NONE
M65049,"Abscess of tendon sheath, unspecified hand",NONE
M65021,"Abscess of tendon sheath, right upper arm",NONE
M65022,"Abscess of tendon sheath, left upper arm",NONE
M65031,"Abscess of tendon sheath, right forearm",NONE
M65032,"Abscess of tendon sheath, left forearm",NONE
M65041,"Abscess of tendon sheath, right hand",NONE
M65042,"Abscess of tendon sheath, left hand",NONE
M65051,"Abscess of tendon sheath, right thigh",NONE
M6389,"Disorders of muscle in diseases classified elsewhere, multiple sites",NONE
M63879,"Disorders of muscle in diseases classified elsewhere, unspecified ankle and foot",NONE
M63861,"Disorders of muscle in diseases classified elsewhere, right lower leg",MULTIPLE_SCLEROSIS
M63862,"Disorders of muscle in diseases classified elsewhere, left lower leg",NONE
M63841,"Disorders of muscle in diseases classified elsewhere, right hand",MUSCULAR_DYSTROPHY
M63842,"Disorders of muscle in diseases classified elsewhere, left hand",MUSCULAR_DYSTROPHY
M63851,"Disorders of muscle in diseases classified elsewhere, right thigh",NONE
M63852,"Disorders of muscle in diseases classified elsewhere, left thigh",MUSCULAR_DYSTROPHY
M65052,"Abscess of tendon sheath, left thigh",NONE
M65059,"Abscess of tendon sheath, unspecified thigh",NONE
M65069,"Abscess of tendon sheath, unspecified lower leg",NONE
M65071,"Abscess of tendon sheath, right ankle and foot",NONE
M65072,"Abscess of tendon sheath, left ankle and foot",NONE
M6510,"Other infective (teno)synovitis, unspecified site",NONE
M65111,"Other infective (teno)synovitis, right shoulder",NONE
M65112,"Other infective (teno)synovitis, left shoulder",NONE
M65121,"Other infective (teno)synovitis, right elbow",NONE
M65122,"Other infective (teno)synovitis, left elbow",NONE
M65131,"Other infective (teno)synovitis, right wrist",NONE
M65132,"Other infective (teno)synovitis, left wrist",NONE
M65141,"Other infective (teno)synovitis, right hand",NONE
M65142,"Other infective (teno)synovitis, left hand",NONE
M65151,"Other infective (teno)synovitis, right hip",NONE
M65152,"Other infective (teno)synovitis, left hip",NONE
M65161,"Other infective (teno)synovitis, right knee",NONE
M65162,"Other infective (teno)synovitis, left knee",NONE
M65119,"Other infective (teno)synovitis, unspecified shoulder",NONE
M65129,"Other infective (teno)synovitis, unspecified elbow",NONE
M65139,"Other infective (teno)synovitis, unspecified wrist",NONE
M65149,"Other infective (teno)synovitis, unspecified hand",NONE
M65159,"Other infective (teno)synovitis, unspecified hip",NONE
M65169,"Other infective (teno)synovitis, unspecified knee",NONE
M65171,"Other infective (teno)synovitis, right ankle and foot",NONE
M6508,"Abscess of tendon sheath, other site",NONE
M65079,"Abscess of tendon sheath, unspecified ankle and foot",NONE
M65061,"Abscess of tendon sheath, right lower leg",NONE
M65062,"Abscess of tendon sheath, left lower leg",NONE
M65172,"Other infective (teno)synovitis, left ankle and foot",NONE
M6518,"Other infective (teno)synovitis, other site",BACTERIAL_MENINGITIS
M6520,"Calcific tendinitis, unspecified site",NONE
M65221,"Calcific tendinitis, right upper arm",NONE
M65222,"Calcific tendinitis, left upper arm",NONE
M65231,"Calcific tendinitis, right forearm",NONE
M65232,"Calcific tendinitis, left forearm",NONE
M65241,"Calcific tendinitis, right hand",NONE
M65242,"Calcific tendinitis, left hand",NONE
M65251,"Calcific tendinitis, right thigh",NONE
M65252,"Calcific tendinitis, left thigh",NONE
M65229,"Calcific tendinitis, unspecified upper arm",NONE
M65239,"Calcific tendinitis, unspecified forearm",NONE
M65249,"Calcific tendinitis, unspecified hand",NONE
M65259,"Calcific tendinitis, unspecified thigh",NONE
M65269,"Calcific tendinitis, unspecified lower leg",NONE
M65271,"Calcific tendinitis, right ankle and foot",NONE
M65272,"Calcific tendinitis, left ankle and foot",SERIOUS_CORONARY_ARTERY_DISEASE
M6528,"Calcific tendinitis, other site",NONE
M65311,"Trigger thumb, right thumb",NONE
M65312,"Trigger thumb, left thumb",MULTIPLE_SCLEROSIS
M6529,"Calcific tendinitis, multiple sites",NONE
M6530,"Trigger finger, unspecified finger",NONE
M65319,"Trigger thumb, unspecified thumb",NONE
M65279,"Calcific tendinitis, unspecified ankle and foot",NONE
M65261,"Calcific tendinitis, right lower leg",NONE
M65262,"Calcific tendinitis, left lower leg",NONE
M6519,"Other infective (teno)synovitis, multiple sites",NONE
M65179,"Other infective (teno)synovitis, unspecified ankle and foot",NONE
M65321,"Trigger finger, right index finger",NONE
M65322,"Trigger finger, left index finger",NONE
M65331,"Trigger finger, right middle finger",NONE
M65332,"Trigger finger, left middle finger",NONE
M65341,"Trigger finger, right ring finger",NONE
M65342,"Trigger finger, left ring finger",NONE
M65351,"Trigger finger, right little finger",NONE
M65352,"Trigger finger, left little finger",NONE
M65329,"Trigger finger, unspecified index finger",NONE
M65339,"Trigger finger, unspecified middle finger",NONE
M65349,"Trigger finger, unspecified ring finger",NONE
M65359,"Trigger finger, unspecified little finger",NONE
M654,Radial styloid tenosynovitis [de Quervain],NONE
M6580,"Other synovitis and tenosynovitis, unspecified site",NONE
M65811,"Other synovitis and tenosynovitis, right shoulder",NONE
M65812,"Other synovitis and tenosynovitis, left shoulder",NONE
M65821,"Other synovitis and tenosynovitis, right upper arm",NONE
M65822,"Other synovitis and tenosynovitis, left upper arm",NONE
M65831,"Other synovitis and tenosynovitis, right forearm",SYSTEMIC_LUPUS_ERYTHEMATOSUS
M65832,"Other synovitis and tenosynovitis, left forearm",NONE
M65841,"Other synovitis and tenosynovitis, right hand",NONE
M65842,"Other synovitis and tenosynovitis, left hand",NONE
M65851,"Other synovitis and tenosynovitis, right thigh",NONE
M65852,"Other synovitis and tenosynovitis, left thigh",NONE
M65819,"Other synovitis and tenosynovitis, unspecified shoulder",NONE
M65829,"Other synovitis and tenosynovitis, unspecified upper arm",NONE
M65839,"Other synovitis and tenosynovitis, unspecified forearm",NONE
M65849,"Other synovitis and tenosynovitis, unspecified hand",NONE
M65859,"Other synovitis and tenosynovitis, unspecified thigh",NONE
M65861,"Other synovitis and tenosynovitis, right lower leg",NONE
M65862,"Other synovitis and tenosynovitis, left lower leg",NONE
M65869,"Other synovitis and tenosynovitis, unspecified lower leg",NONE
M65871,"Other synovitis and tenosynovitis, right ankle and foot",SYSTEMIC_LUPUS_ERYTHEMATOSUS
M65872,"Other synovitis and tenosynovitis, left ankle and foot",NONE
M6588,"Other synovitis and tenosynovitis, other site",NONE
M659,"Synovitis and tenosynovitis, unspecified",NONE
M6610,"Rupture of synovium, unspecified joint",NONE
M66111,"Rupture of synovium, right shoulder",NONE
M66112,"Rupture of synovium, left shoulder",NONE
M66121,"Rupture of synovium, right elbow",NONE
M66122,"Rupture of synovium, left elbow",NONE
M66131,"Rupture of synovium, right wrist",NONE
M66132,"Rupture of synovium, left wrist",NONE
M66141,"Rupture of synovium, right hand",NONE
M66142,"Rupture of synovium, left hand",NONE
M66119,"Rupture of synovium, unspecified shoulder",NONE
M66129,"Rupture of synovium, unspecified elbow",NONE
M66139,"Rupture of synovium, unspecified wrist",NONE
M66143,"Rupture of synovium, unspecified hand",NONE
M66146,"Rupture of synovium, unspecified finger(s)",NONE
M66144,"Rupture of synovium, right finger(s)",NONE
M66145,"Rupture of synovium, left finger(s)",NONE
M66151,"Rupture of synovium, right hip",NONE
M66152,"Rupture of synovium, left hip",NONE
M66159,"Rupture of synovium, unspecified hip",NONE
M660,Rupture of popliteal cyst,NONE
M6589,"Other synovitis and tenosynovitis, multiple sites",NONE
M65879,"Other synovitis and tenosynovitis, unspecified ankle and foot",NONE
M66171,"Rupture of synovium, right ankle",NONE
M66172,"Rupture of synovium, left ankle",NONE
M66174,"Rupture of synovium, right foot",NONE
M66175,"Rupture of synovium, left foot",NONE
M66177,"Rupture of synovium, right toe(s)",NONE
M66178,"Rupture of synovium, left toe(s)",NONE
M6618,"Rupture of synovium, other site",NONE
M66173,"Rupture of synovium, unspecified ankle",NONE
M66176,"Rupture of synovium, unspecified foot",NONE
M66179,"Rupture of synovium, unspecified toe(s)",NONE
M6620,"Spontaneous rupture of extensor tendons, unspecified site",NONE
M66211,"Spontaneous rupture of extensor tendons, right shoulder",NONE
M66212,"Spontaneous rupture of extensor tendons, left shoulder",NONE
M66219,"Spontaneous rupture of extensor tendons, unspecified shoulder",NONE
M66229,"Spontaneous rupture of extensor tendons, unspecified upper arm",NONE
M66239,"Spontaneous rupture of extensor tendons, unspecified forearm",NONE
M66249,"Spontaneous rupture of extensor tendons, unspecified hand",NONE
M66259,"Spontaneous rupture of extensor tendons, unspecified thigh",NONE
M66269,"Spontaneous rupture of extensor tendons, unspecified lower leg",NONE
M66261,"Spontaneous rupture of extensor tendons, right lower leg",NONE
M66262,"Spontaneous rupture of extensor tendons, left lower leg",NONE
M66221,"Spontaneous rupture of extensor tendons, right upper arm",NONE
M66222,"Spontaneous rupture of extensor tendons, left upper arm",NONE
M66231,"Spontaneous rupture of extensor tendons, right forearm",NONE
M66232,"Spontaneous rupture of extensor tendons, left forearm",NONE
M66241,"Spontaneous rupture of extensor tendons, right hand",NONE
M66242,"Spontaneous rupture of extensor tendons, left hand",NONE
M66251,"Spontaneous rupture of extensor tendons, right thigh",NONE
M66252,"Spontaneous rupture of extensor tendons, left thigh",NONE
M66271,"Spontaneous rupture of extensor tendons, right ankle and foot",NONE
M66272,"Spontaneous rupture of extensor tendons, left ankle and foot",NONE
M6628,"Spontaneous rupture of extensor tendons, other site",NONE
M6629,"Spontaneous rupture of extensor tendons, multiple sites",NONE
M6630,"Spontaneous rupture of flexor tendons, unspecified site",NONE
M66311,"Spontaneous rupture of flexor tendons, right shoulder",NONE
M66312,"Spontaneous rupture of flexor tendons, left shoulder",NONE
M66321,"Spontaneous rupture of flexor tendons, right upper arm",NONE
M66322,"Spontaneous rupture of flexor tendons, left upper arm",NONE
M66331,"Spontaneous rupture of flexor tendons, right forearm",NONE
M66332,"Spontaneous rupture of flexor tendons, left forearm",NONE
M66341,"Spontaneous rupture of flexor tendons, right hand",NONE
M66342,"Spontaneous rupture of flexor tendons, left hand",NONE
M66351,"Spontaneous rupture of flexor tendons, right thigh",NONE
M66352,"Spontaneous rupture of flexor tendons, left thigh",NONE
M66319,"Spontaneous rupture of flexor tendons, unspecified shoulder",NONE
M66329,"Spontaneous rupture of flexor tendons, unspecified upper arm",NONE
M66339,"Spontaneous rupture of flexor tendons, unspecified forearm",NONE
M66349,"Spontaneous rupture of flexor tendons, unspecified hand",NONE
M66359,"Spontaneous rupture of flexor tendons, unspecified thigh",NONE
M66369,"Spontaneous rupture of flexor tendons, unspecified lower leg",NONE
M66371,"Spontaneous rupture of flexor tendons, right ankle and foot",NONE
M66372,"Spontaneous rupture of flexor tendons, left ankle and foot",NONE
M6638,"Spontaneous rupture of flexor tendons, other site",NONE
M6639,"Spontaneous rupture of flexor tendons, multiple sites",NONE
M66379,"Spontaneous rupture of flexor tendons, unspecified ankle and foot",NONE
M66361,"Spontaneous rupture of flexor tendons, right lower leg",NONE
M66362,"Spontaneous rupture of flexor tendons, left lower leg",NONE
M66279,"Spontaneous rupture of extensor tendons, unspecified ankle and foot",NONE
M6680,"Spontaneous rupture of other tendons, unspecified site",NONE
M66811,"Spontaneous rupture of other tendons, right shoulder",NONE
M66812,"Spontaneous rupture of other tendons, left shoulder",NONE
M66821,"Spontaneous rupture of other tendons, right upper arm",NONE
M66822,"Spontaneous rupture of other tendons, left upper arm",NONE
M66831,"Spontaneous rupture of other tendons, right forearm",NONE
M66832,"Spontaneous rupture of other tendons, left forearm",NONE
M66841,"Spontaneous rupture of other tendons, right hand",NONE
M66842,"Spontaneous rupture of other tendons, left hand",NONE
M66851,"Spontaneous rupture of other tendons, right thigh",NONE
M66852,"Spontaneous rupture of other tendons, left thigh",SYSTEMIC_LUPUS_ERYTHEMATOSUS
M66819,"Spontaneous rupture of other tendons, unspecified shoulder",NONE
M66829,"Spontaneous rupture of other tendons, unspecified upper arm",NONE
M66839,"Spontaneous rupture of other tendons, unspecified forearm",NONE
M66849,"Spontaneous rupture of other tendons, unspecified hand",NONE
M66859,"Spontaneous rupture of other tendons, unspecified thigh",NONE
M66869,"Spontaneous rupture of other tendons, unspecified lower leg",NONE
M66871,"Spontaneous rupture of other tendons, right ankle and foot",NONE
M66872,"Spontaneous rupture of other tendons, left ankle and foot",SYSTEMIC_LUPUS_ERYTHEMATOSUS
M6688,"Spontaneous rupture of other tendons, other",NONE
M669,Spontaneous rupture of unspecified tendon,NONE
M6701,"Short Achilles tendon (acquired), right ankle",NONE
M6702,"Short Achilles tendon (acquired), left ankle",NONE
M6689,"Spontaneous rupture of other tendons, multiple sites",NONE
M6700,"Short Achilles tendon (acquired), unspecified ankle",NONE
M66879,"Spontaneous rupture of other tendons, unspecified ankle and foot",NONE
M6720,"Synovial hypertrophy, not elsewhere classified, unspecified site",NONE
M66861,"Spontaneous rupture of other tendons, right lower leg",NONE
M66862,"Spontaneous rupture of other tendons, left lower leg",NONE
M67211,"Synovial hypertrophy, not elsewhere classified, right shoulder",NONE
M67212,"Synovial hypertrophy, not elsewhere classified, left shoulder",NONE
M67221,"Synovial hypertrophy, not elsewhere classified, right upper arm",NONE
M67222,"Synovial hypertrophy, not elsewhere classified, left upper arm",NONE
M67231,"Synovial hypertrophy, not elsewhere classified, right forearm",NONE
M67232,"Synovial hypertrophy, not elsewhere classified, left forearm",NONE
M67241,"Synovial hypertrophy, not elsewhere classified, right hand",MUSCULAR_DYSTROPHY
M67242,"Synovial hypertrophy, not elsewhere classified, left hand",NONE
M67251,"Synovial hypertrophy, not elsewhere classified, right thigh",NONE
M67252,"Synovial hypertrophy, not elsewhere classified, left thigh",NONE
M67219,"Synovial hypertrophy, not elsewhere classified, unspecified shoulder",NONE
M67229,"Synovial hypertrophy, not elsewhere classified, unspecified upper arm",NONE
M67239,"Synovial hypertrophy, not elsewhere classified, unspecified forearm",NONE
M67249,"Synovial hypertrophy, not elsewhere classified, unspecified hand",NONE
M67259,"Synovial hypertrophy, not elsewhere classified, unspecified thigh",NONE
M67269,"Synovial hypertrophy, not elsewhere classified, unspecified lower leg",NONE
M67271,"Synovial hypertrophy, not elsewhere classified, right ankle and foot",NONE
M67272,"Synovial hypertrophy, not elsewhere classified, left ankle and foot",NONE
M6728,"Synovial hypertrophy, not elsewhere classified, other site",NONE
M6730,"Transient synovitis, unspecified site",NONE
M67311,"Transient synovitis, right shoulder",NONE
M67312,"Transient synovitis, left shoulder",NONE
M67321,"Transient synovitis, right elbow",NONE
M67322,"Transient synovitis, left elbow",NONE
M67319,"Transient synovitis, unspecified shoulder",NONE
M6729,"Synovial hypertrophy, not elsewhere classified, multiple sites",SYSTEMIC_LUPUS_ERYTHEMATOSUS
M67279,"Synovial hypertrophy, not elsewhere classified, unspecified ankle and foot",NONE
M67261,"Synovial hypertrophy, not elsewhere classified, right lower leg",NONE
M67262,"Synovial hypertrophy, not elsewhere classified, left lower leg",NONE
M67329,"Transient synovitis, unspecified elbow",NONE
M67339,"Transient synovitis, unspecified wrist",NONE
M67349,"Transient synovitis, unspecified hand",NONE
M67359,"Transient synovitis, unspecified hip",NONE
M67369,"Transient synovitis, unspecified knee",NONE
M67371,"Transient synovitis, right ankle and foot",NONE
M67372,"Transient synovitis, left ankle and foot",NONE
M67379,"Transient synovitis, unspecified ankle and foot",NONE
M67331,"Transient synovitis, right wrist",NONE
M67332,"Transient synovitis, left wrist",NONE
M67341,"Transient synovitis, right hand",NONE
M67342,"Transient synovitis, left hand",NONE
M67351,"Transient synovitis, right hip",NONE
M67352,"Transient synovitis, left hip",NONE
M67361,"Transient synovitis, right knee",NONE
M67362,"Transient synovitis, left knee",NONE
M6738,"Transient synovitis, other site",NONE
M6740,"Ganglion, unspecified site",NONE
M67411,"Ganglion, right shoulder",NONE
M67412,"Ganglion, left shoulder",NONE
M67421,"Ganglion, right elbow",NONE
M67422,"Ganglion, left elbow",NONE
M67431,"Ganglion, right wrist",NONE
M67432,"Ganglion, left wrist",NONE
M67441,"Ganglion, right hand",NONE
M6739,"Transient synovitis, multiple sites",NONE
